Loan ID,Customer ID,Loan Amount,Loan Type,Rate of Interest,Term (Months),Loan Status,Issue Date,EMI
LOAN20307,CUST10337,176220.0,Auto,7.0,36,Ongoing,2024-11-21,5441.16
LOAN20308,CUST10144,3909536.0,Personal,12.93,48,Ongoing,2024-07-05,104747.28
LOAN20309,CUST10377,4067300.0,Auto,14.87,36,Closed,2023-07-02,140735.5
LOAN20310,CUST10918,108424.0,Auto,8.72,12,Closed,2024-04-25,9467.77
LOAN20311,CUST10499,610422.0,Asset,9.58,60,Closed,2023-03-09,12843.88
LOAN20312,CUST10759,3027590.0,Auto,7.96,12,Ongoing,2023-10-25,263309.31
LOAN20313,CUST10876,408925.0,Personal,7.78,36,Closed,2023-09-08,12772.76
LOAN20314,CUST10340,1013482.0,Personal,13.96,24,Closed,2022-06-13,48641.04
LOAN20315,CUST10562,2231880.0,Home,10.67,48,Closed,2021-07-23,57327.08
LOAN20316,CUST10065,4781309.0,Auto,11.66,48,Ongoing,2024-01-21,125113.51
LOAN20317,CUST10151,3498733.0,Personal,10.31,48,Ongoing,2025-05-07,89258.69
LOAN20318,CUST10102,1928220.0,Home,14.86,12,Ongoing,2023-08-04,173910.53
LOAN20319,CUST10654,4002278.0,Education,14.24,48,Ongoing,2025-01-29,109850.61
LOAN20320,CUST10837,3392277.0,Home,11.5,36,Ongoing,2022-08-30,111863.75
LOAN20321,CUST10431,3805588.0,Asset,9.5,48,Closed,2024-04-15,95608.31
LOAN20322,CUST10205,417652.0,Auto,12.22,12,Closed,2024-02-22,37150.87
LOAN20323,CUST10695,4423577.0,Personal,10.82,24,Ongoing,2024-02-26,205803.88
LOAN20324,CUST10340,3224232.0,Home,7.33,36,Closed,2021-06-12,100042.12
LOAN20325,CUST10987,1125975.0,Auto,9.41,24,Closed,2022-07-23,51651.95
LOAN20326,CUST10219,4480872.0,Home,7.9,48,Ongoing,2022-11-16,109180.97
LOAN20327,CUST10256,4968715.0,Home,7.4,36,Ongoing,2022-07-30,154329.84
LOAN20328,CUST10237,4161893.0,Asset,8.66,60,Ongoing,2025-04-21,85708.91
LOAN20329,CUST10217,424301.0,Personal,9.15,36,Closed,2025-02-07,13522.3
LOAN20330,CUST10486,4882354.0,Personal,8.35,60,Ongoing,2025-01-21,99816.37
LOAN20331,CUST10173,1468354.0,Education,11.97,12,Closed,2021-06-16,130440.87
LOAN20332,CUST10824,2910597.0,Education,12.85,24,Closed,2024-10-13,138170.11
LOAN20333,CUST10662,3709361.0,Personal,9.62,60,Closed,2022-01-24,78121.19
LOAN20334,CUST10222,2928750.0,Home,13.9,60,Ongoing,2022-04-06,67995.15
LOAN20335,CUST10257,1313718.0,Home,7.33,36,Ongoing,2022-10-27,40762.31
LOAN20336,CUST10025,1826054.0,Education,11.68,24,Ongoing,2022-05-07,85686.07
LOAN20337,CUST10835,952346.0,Home,9.39,48,Closed,2025-04-10,23875.92
LOAN20338,CUST10941,1775134.0,Education,8.14,36,Closed,2022-09-08,55740.97
LOAN20339,CUST10923,1645042.0,Personal,11.63,48,Closed,2021-06-22,43022.02
LOAN20340,CUST10861,1745982.0,Auto,10.62,24,Closed,2021-12-03,81068.76
LOAN20341,CUST10285,2926813.0,Auto,11.89,48,Ongoing,2021-06-05,76916.23
LOAN20342,CUST10305,2274511.0,Auto,14.45,24,Closed,2023-12-22,109689.98
LOAN20343,CUST10923,1765454.0,Auto,7.13,12,Closed,2024-06-28,152864.81
LOAN20344,CUST10005,1312269.0,Home,9.31,24,Ongoing,2022-06-06,60137.49
LOAN20345,CUST10899,3754298.0,Education,9.31,48,Ongoing,2022-06-02,93979.47
LOAN20346,CUST10545,1532719.0,Auto,10.95,36,Closed,2025-04-24,50142.97
LOAN20347,CUST10276,441965.0,Education,7.64,48,Ongoing,2021-08-03,10715.13
LOAN20348,CUST10298,3004732.0,Asset,8.12,48,Ongoing,2024-07-31,73523.66
LOAN20349,CUST10680,549414.0,Personal,9.97,36,Ongoing,2025-04-24,17720.31
LOAN20350,CUST10657,835691.0,Education,13.33,24,Closed,2022-05-21,39859.93
LOAN20351,CUST10187,3936398.0,Home,12.93,24,Closed,2025-01-19,187014.13
LOAN20352,CUST10986,1072773.0,Auto,14.96,12,Closed,2022-06-19,96806.43
LOAN20353,CUST10250,4637339.0,Home,13.41,60,Ongoing,2025-05-17,106489.56
LOAN20354,CUST10667,3223121.0,Education,8.65,36,Ongoing,2023-11-13,101970.16
LOAN20355,CUST10090,2742233.0,Personal,11.36,48,Closed,2021-08-14,71354.82
LOAN20356,CUST10649,1014525.0,Home,9.06,24,Closed,2022-05-16,46376.25
LOAN20357,CUST10282,251283.0,Personal,14.5,12,Ongoing,2022-10-23,22621.14
LOAN20358,CUST10259,3760208.0,Asset,12.8,12,Ongoing,2023-05-04,335498.81
LOAN20359,CUST10466,4930016.0,Education,9.25,48,Ongoing,2021-11-26,123269.73
LOAN20360,CUST10926,3267787.0,Auto,7.89,36,Ongoing,2024-05-11,102234.82
LOAN20361,CUST10860,3364066.0,Home,7.08,24,Closed,2024-07-29,150739.95
LOAN20362,CUST10396,2115236.0,Personal,14.0,24,Ongoing,2024-10-20,101558.58
LOAN20363,CUST10540,3046778.0,Education,8.94,48,Ongoing,2021-12-10,75732.43
LOAN20364,CUST10161,680459.0,Personal,11.01,60,Closed,2021-06-13,14798.22
LOAN20365,CUST10621,4668450.0,Auto,8.97,12,Closed,2024-04-08,408197.9
LOAN20366,CUST10585,442505.0,Asset,13.07,12,Ongoing,2025-03-24,39537.88
LOAN20367,CUST10907,4146358.0,Home,10.06,36,Closed,2025-02-10,133908.14
LOAN20368,CUST10986,4089549.0,Education,9.54,48,Ongoing,2024-12-02,102820.43
LOAN20369,CUST10795,1448332.0,Auto,10.05,60,Ongoing,2023-09-14,30808.42
LOAN20370,CUST10023,2793732.0,Home,14.12,12,Ongoing,2023-12-21,250998.91
LOAN20371,CUST10445,496728.0,Personal,14.72,12,Ongoing,2021-07-22,44768.23
LOAN20372,CUST10588,2123424.0,Personal,13.94,36,Closed,2021-12-31,72511.74
LOAN20373,CUST10229,1187034.0,Education,7.79,60,Closed,2024-10-09,23949.65
LOAN20374,CUST10003,1529105.0,Personal,13.16,24,Ongoing,2022-08-23,72811.41
LOAN20375,CUST10687,641483.0,Personal,7.1,12,Ongoing,2021-09-09,55535.01
LOAN20376,CUST10891,1814227.0,Auto,8.51,48,Closed,2024-03-14,44726.18
LOAN20377,CUST10490,2269328.0,Asset,11.25,60,Closed,2021-08-11,49624.09
LOAN20378,CUST10587,2770051.0,Home,9.87,36,Ongoing,2022-05-25,89212.78
LOAN20379,CUST10688,1711244.0,Asset,14.35,12,Ongoing,2022-07-06,153929.62
LOAN20380,CUST10449,2655441.0,Auto,11.57,24,Closed,2023-11-19,124468.26
LOAN20381,CUST10612,4575589.0,Home,13.49,60,Ongoing,2023-08-21,105260.03
LOAN20382,CUST10271,1408756.0,Personal,7.34,36,Ongoing,2024-12-07,43717.63
LOAN20383,CUST10970,1307289.0,Home,13.65,24,Ongoing,2024-02-03,62550.78
LOAN20384,CUST10644,3648869.0,Education,14.62,24,Ongoing,2021-12-11,176263.36
LOAN20385,CUST10675,2514838.0,Education,9.29,36,Closed,2024-10-27,80311.04
LOAN20386,CUST10888,2821304.0,Asset,8.15,24,Closed,2021-09-24,127793.04
LOAN20387,CUST10343,4034393.0,Home,9.65,36,Closed,2022-04-21,129516.58
LOAN20388,CUST10983,3314196.0,Auto,11.74,48,Closed,2023-08-24,86853.01
LOAN20389,CUST10549,1528961.0,Education,12.98,48,Closed,2023-01-05,41003.02
LOAN20390,CUST10297,2638324.0,Education,11.2,48,Ongoing,2025-05-20,68445.4
LOAN20391,CUST10351,2087573.0,Auto,10.69,24,Ongoing,2023-01-06,96997.08
LOAN20392,CUST10097,4253278.0,Personal,13.92,12,Ongoing,2024-11-10,381729.49
LOAN20393,CUST10207,728620.0,Auto,13.72,48,Closed,2021-07-22,19808.43
LOAN20394,CUST10624,1580594.0,Asset,9.89,24,Closed,2023-03-31,72856.17
LOAN20395,CUST10479,3691199.0,Auto,8.75,24,Closed,2023-02-18,168208.39
LOAN20396,CUST10336,1995917.0,Personal,7.44,48,Closed,2023-10-06,48203.21
LOAN20397,CUST10268,221577.0,Auto,10.5,48,Closed,2022-06-09,5673.12
LOAN20398,CUST10308,3411752.0,Education,11.53,24,Ongoing,2023-01-12,159855.2
LOAN20399,CUST10194,943956.0,Personal,8.31,12,Closed,2023-12-26,82248.61
LOAN20400,CUST10244,698688.0,Home,14.63,12,Closed,2024-09-26,62940.48
LOAN20401,CUST10011,1796603.0,Asset,13.4,12,Closed,2023-11-17,160805.04
LOAN20402,CUST10081,2551151.0,Home,8.19,60,Ongoing,2023-04-23,51960.43
LOAN20403,CUST10531,2160350.0,Home,7.98,36,Closed,2022-05-21,67677.59
LOAN20404,CUST10802,401952.0,Personal,14.39,48,Closed,2023-12-22,11062.73
LOAN20405,CUST10441,4567017.0,Education,11.33,24,Closed,2022-02-05,213559.18
LOAN20406,CUST10493,4380102.0,Education,12.39,36,Closed,2024-04-30,146299.3
LOAN20407,CUST10601,1639530.0,Education,9.38,12,Ongoing,2025-03-06,143668.39
LOAN20408,CUST10589,3039023.0,Education,9.12,12,Ongoing,2021-08-06,265936.19
LOAN20409,CUST10885,2684397.0,Auto,14.71,60,Closed,2023-07-31,63453.71
LOAN20410,CUST10269,260732.0,Asset,12.07,12,Closed,2023-03-06,23174.26
LOAN20411,CUST10349,3588815.0,Education,7.77,24,Ongoing,2024-07-27,161936.18
LOAN20412,CUST10810,4642185.0,Education,9.36,36,Closed,2021-07-15,148399.26
LOAN20413,CUST10670,643356.0,Asset,12.57,48,Closed,2021-07-04,17122.64
LOAN20414,CUST10211,1712944.0,Home,14.4,36,Ongoing,2024-04-08,58877.7
LOAN20415,CUST10313,60506.0,Auto,14.99,24,Closed,2024-12-16,2933.45
LOAN20416,CUST10816,696055.0,Home,13.72,24,Closed,2022-01-08,33327.61
LOAN20417,CUST10682,2841457.0,Education,10.29,12,Closed,2025-04-19,250192.62
LOAN20418,CUST10851,3334354.0,Auto,9.17,48,Ongoing,2022-11-20,83244.96
LOAN20419,CUST10403,1175236.0,Auto,11.19,12,Ongoing,2021-08-10,103973.49
LOAN20420,CUST10331,3964936.0,Education,13.9,36,Ongoing,2023-06-02,135319.62
LOAN20421,CUST10107,3756371.0,Personal,11.62,36,Ongoing,2023-01-24,124084.6
LOAN20422,CUST10557,3378456.0,Education,10.3,12,Closed,2025-02-05,297491.55
LOAN20423,CUST10746,2639040.0,Personal,13.53,48,Ongoing,2024-09-06,71495.01
LOAN20424,CUST10498,2448096.0,Asset,7.82,60,Closed,2023-09-01,49427.94
LOAN20425,CUST10459,304477.0,Home,13.43,24,Ongoing,2025-04-19,14536.96
LOAN20426,CUST10304,2974301.0,Home,10.03,36,Ongoing,2024-03-23,96014.23
LOAN20427,CUST10845,2112935.0,Education,10.11,60,Ongoing,2023-07-01,45008.07
LOAN20428,CUST10022,3040553.0,Asset,12.26,60,Closed,2022-02-11,68035.59
LOAN20429,CUST10786,4163296.0,Home,12.09,36,Closed,2023-06-08,138460.03
LOAN20430,CUST10929,2922458.0,Home,8.88,60,Ongoing,2024-08-08,60495.36
LOAN20431,CUST10001,3095006.0,Home,12.71,12,Closed,2021-11-28,276016.58
LOAN20432,CUST10229,3416249.0,Education,11.5,60,Closed,2021-07-05,75132.22
LOAN20433,CUST10694,2014032.0,Asset,11.6,48,Ongoing,2022-06-28,52642.5
LOAN20434,CUST10031,2369732.0,Asset,12.31,36,Ongoing,2024-09-05,79060.34
LOAN20435,CUST10052,3748507.0,Auto,14.65,48,Closed,2022-12-20,103659.91
LOAN20436,CUST10033,2133196.0,Auto,13.37,12,Closed,2025-02-06,190901.76
LOAN20437,CUST10113,608788.0,Auto,7.49,48,Closed,2025-03-23,14716.98
LOAN20438,CUST10514,1091635.0,Home,8.61,24,Closed,2024-09-26,49675.95
LOAN20439,CUST10493,3689737.0,Auto,13.38,24,Ongoing,2022-07-19,176076.12
LOAN20440,CUST10270,2487211.0,Home,12.04,24,Ongoing,2021-06-10,117128.12
LOAN20441,CUST10027,4294729.0,Personal,11.69,12,Ongoing,2022-03-19,380958.92
LOAN20442,CUST10255,4634646.0,Home,11.08,24,Closed,2022-06-28,216183.01
LOAN20443,CUST10362,4495571.0,Personal,7.87,60,Ongoing,2021-06-26,90874.53
LOAN20444,CUST10769,2320798.0,Asset,13.67,12,Closed,2023-01-26,208017.58
LOAN20445,CUST10270,3667591.0,Education,11.27,48,Ongoing,2022-12-29,95272.42
LOAN20446,CUST10706,3540026.0,Home,9.5,60,Ongoing,2025-03-31,74347.14
LOAN20447,CUST10503,3186843.0,Auto,8.93,36,Ongoing,2024-02-21,101236.96
LOAN20448,CUST10599,2014248.0,Education,13.75,48,Ongoing,2025-04-05,54790.03
LOAN20449,CUST10306,1490942.0,Education,8.6,24,Closed,2022-04-22,67840.0
LOAN20450,CUST10476,1835992.0,Personal,12.47,60,Ongoing,2024-02-22,41278.02
LOAN20451,CUST10304,4347903.0,Home,12.72,36,Closed,2024-08-07,145912.34
LOAN20452,CUST10700,4505412.0,Education,7.87,48,Closed,2022-07-10,109715.55
LOAN20453,CUST10293,4665118.0,Personal,13.57,12,Closed,2022-07-31,417924.22
LOAN20454,CUST10589,3949144.0,Personal,11.75,12,Ongoing,2022-07-04,350414.97
LOAN20455,CUST10485,976902.0,Auto,11.52,12,Closed,2022-10-09,86577.35
LOAN20456,CUST10688,899988.0,Education,14.11,36,Closed,2021-08-05,30807.56
LOAN20457,CUST10882,1247036.0,Home,7.74,24,Ongoing,2023-08-04,56252.3
LOAN20458,CUST10204,3884944.0,Personal,7.44,36,Closed,2021-10-29,120738.89
LOAN20459,CUST10103,2404645.0,Education,11.8,60,Closed,2025-01-20,53247.29
LOAN20460,CUST10419,1918308.0,Auto,14.2,48,Ongoing,2022-04-03,52613.26
LOAN20461,CUST10744,2084522.0,Home,10.28,48,Ongoing,2024-04-13,53149.61
LOAN20462,CUST10190,3509393.0,Auto,8.35,24,Ongoing,2025-05-19,159281.13
LOAN20463,CUST10812,4456512.0,Education,10.83,48,Ongoing,2023-02-17,114813.31
LOAN20464,CUST10808,4906938.0,Home,14.41,36,Closed,2025-04-02,168686.3
LOAN20465,CUST10103,3372435.0,Auto,13.54,60,Closed,2022-02-01,77668.72
LOAN20466,CUST10371,4437179.0,Personal,11.4,12,Ongoing,2024-09-21,392993.61
LOAN20467,CUST10434,2832919.0,Home,9.31,60,Closed,2022-09-18,59233.87
LOAN20468,CUST10836,3132846.0,Auto,12.72,48,Ongoing,2021-12-31,83611.69
LOAN20469,CUST10550,2108170.0,Personal,14.47,12,Closed,2023-11-21,189753.03
LOAN20470,CUST10778,329598.0,Home,13.41,12,Ongoing,2022-03-16,29502.23
LOAN20471,CUST10279,2363946.0,Auto,11.66,36,Ongoing,2022-04-09,78133.51
LOAN20472,CUST10852,3404603.0,Home,9.7,48,Closed,2021-10-10,85859.84
LOAN20473,CUST10320,719325.0,Home,11.69,48,Ongoing,2022-10-26,18833.28
LOAN20474,CUST10608,2421159.0,Personal,9.77,60,Closed,2024-09-09,51168.9
LOAN20475,CUST10420,1315675.0,Auto,8.42,12,Closed,2023-04-13,114704.16
LOAN20476,CUST10448,3579907.0,Auto,13.5,24,Ongoing,2023-03-06,171037.27
LOAN20477,CUST10214,2383796.0,Auto,12.38,48,Ongoing,2024-01-10,63220.17
LOAN20478,CUST10447,4437350.0,Personal,11.81,36,Closed,2025-03-27,146981.16
LOAN20479,CUST10078,4774964.0,Personal,9.05,24,Ongoing,2024-08-17,218252.56
LOAN20480,CUST10485,133489.0,Education,14.81,12,Ongoing,2022-03-04,12036.53
LOAN20481,CUST10324,4449142.0,Auto,9.44,60,Closed,2022-06-20,93309.86
LOAN20482,CUST10369,4300924.0,Auto,12.24,24,Closed,2023-09-13,202941.8
LOAN20483,CUST10823,610736.0,Personal,11.46,12,Ongoing,2025-04-25,54108.99
LOAN20484,CUST10143,2682142.0,Auto,12.38,60,Closed,2023-10-07,60179.09
LOAN20485,CUST10112,1045319.0,Personal,9.37,48,Ongoing,2025-04-22,26196.85
LOAN20486,CUST10444,1650371.0,Personal,8.28,60,Ongoing,2023-08-28,33685.17
LOAN20487,CUST10427,1187631.0,Personal,12.65,12,Ongoing,2022-12-12,105881.05
LOAN20488,CUST10342,1162847.0,Education,8.8,48,Closed,2023-10-22,28827.19
LOAN20489,CUST10373,626697.0,Home,11.59,36,Ongoing,2024-09-01,20692.8
LOAN20490,CUST10302,556714.0,Personal,12.24,24,Ongoing,2021-09-25,26268.9
LOAN20491,CUST10918,974549.0,Home,12.63,48,Closed,2024-03-03,25966.1
LOAN20492,CUST10152,766663.0,Education,13.08,48,Ongoing,2021-12-13,20598.1
LOAN20493,CUST10444,2405928.0,Education,13.5,48,Closed,2023-01-21,65143.68
LOAN20494,CUST10774,894815.0,Auto,9.44,48,Ongoing,2022-04-04,22454.93
LOAN20495,CUST10448,4937731.0,Home,14.76,24,Ongoing,2022-07-18,238851.37
LOAN20496,CUST10686,3040189.0,Auto,11.63,24,Closed,2023-03-24,142587.51
LOAN20497,CUST10218,1480555.0,Auto,9.89,36,Ongoing,2022-10-12,47696.92
LOAN20498,CUST10096,605525.0,Home,8.45,48,Ongoing,2025-02-20,14910.87
LOAN20499,CUST10178,933457.0,Auto,8.07,60,Closed,2023-08-23,18958.43
LOAN20500,CUST10792,3456350.0,Education,14.22,48,Closed,2022-04-13,94831.75
LOAN20501,CUST10265,4193280.0,Auto,13.81,60,Closed,2022-09-16,97157.73
LOAN20502,CUST10859,3688143.0,Home,14.01,48,Ongoing,2024-05-12,100802.45
LOAN20503,CUST10914,1100652.0,Home,7.84,36,Ongoing,2022-09-23,34409.25
LOAN20504,CUST10385,2189486.0,Personal,10.51,12,Ongoing,2024-11-26,193010.33
LOAN20505,CUST10110,4724850.0,Personal,9.01,24,Closed,2022-06-19,215875.23
LOAN20506,CUST10760,4973947.0,Home,7.18,48,Ongoing,2022-05-01,119523.17
LOAN20507,CUST10135,911785.0,Personal,13.4,48,Ongoing,2024-02-17,24642.31
LOAN20508,CUST10031,4990125.0,Education,11.5,36,Closed,2023-09-22,164554.39
LOAN20509,CUST10367,502829.0,Home,7.19,24,Closed,2024-10-27,22556.29
LOAN20510,CUST10817,2635504.0,Personal,11.51,36,Ongoing,2024-02-21,86920.93
LOAN20511,CUST10627,1658804.0,Home,13.89,36,Ongoing,2021-06-25,56605.41
LOAN20512,CUST10050,110385.0,Auto,8.92,60,Closed,2022-02-11,2287.13
LOAN20513,CUST10689,3762454.0,Personal,10.59,60,Closed,2022-04-14,81037.66
LOAN20514,CUST10707,2333148.0,Asset,11.15,36,Ongoing,2023-09-23,76550.11
LOAN20515,CUST10526,3412248.0,Education,8.51,24,Closed,2025-05-10,155121.65
LOAN20516,CUST10677,2252090.0,Home,9.4,36,Closed,2022-01-14,72035.86
LOAN20517,CUST10174,1643741.0,Home,8.23,36,Closed,2022-10-10,51683.45
LOAN20518,CUST10764,4193057.0,Personal,13.37,60,Closed,2025-05-15,96201.0
LOAN20519,CUST10613,822687.0,Home,11.58,60,Ongoing,2021-07-06,18126.09
LOAN20520,CUST10851,1763262.0,Home,10.52,48,Closed,2024-03-19,45162.5
LOAN20521,CUST10814,4809793.0,Auto,13.24,12,Ongoing,2023-07-29,430139.38
LOAN20522,CUST10404,2378314.0,Auto,9.11,48,Closed,2025-05-05,59308.75
LOAN20523,CUST10585,621802.0,Personal,11.86,24,Closed,2024-12-05,29229.74
LOAN20524,CUST10202,449548.0,Home,13.27,36,Closed,2024-10-20,15205.58
LOAN20525,CUST10983,260694.0,Personal,9.05,60,Closed,2025-03-06,5417.91
LOAN20526,CUST10606,1685435.0,Auto,10.37,48,Ongoing,2022-03-25,43047.09
LOAN20527,CUST10606,1382353.0,Personal,9.53,60,Closed,2023-03-01,29052.26
LOAN20528,CUST10010,4200976.0,Education,13.17,60,Closed,2025-03-19,95951.1
LOAN20529,CUST10178,1550685.0,Asset,14.92,36,Closed,2025-04-19,53694.27
LOAN20530,CUST10850,2713990.0,Asset,14.12,36,Closed,2021-08-23,92916.0
LOAN20531,CUST10066,4661987.0,Home,14.07,36,Closed,2024-09-12,159494.21
LOAN20532,CUST10331,3032141.0,Education,7.46,12,Closed,2023-09-08,263004.73
LOAN20533,CUST10978,4417487.0,Auto,9.08,24,Closed,2024-02-06,201973.94
LOAN20534,CUST10449,3780695.0,Personal,7.94,12,Ongoing,2025-04-08,328771.84
LOAN20535,CUST10870,3874822.0,Home,13.0,12,Closed,2022-11-08,346088.54
LOAN20536,CUST10867,2619736.0,Asset,13.5,48,Closed,2022-07-20,70932.82
LOAN20537,CUST10579,1013838.0,Education,7.42,60,Ongoing,2024-04-15,20276.71
LOAN20538,CUST10751,3566118.0,Personal,11.77,24,Closed,2022-05-29,167486.78
LOAN20539,CUST10235,2234427.0,Auto,10.5,12,Ongoing,2024-09-22,196961.62
LOAN20540,CUST10101,3499741.0,Education,10.92,48,Closed,2023-02-06,90316.73
LOAN20541,CUST10662,2134867.0,Personal,13.76,24,Ongoing,2024-06-07,102259.24
LOAN20542,CUST10613,655488.0,Education,9.61,36,Closed,2024-02-27,21030.94
LOAN20543,CUST10590,3425264.0,Personal,14.46,36,Ongoing,2023-04-09,117834.13
LOAN20544,CUST10521,914338.0,Home,12.21,60,Closed,2024-02-15,20436.11
LOAN20545,CUST10582,2904388.0,Auto,14.84,12,Closed,2025-01-06,261925.93
LOAN20546,CUST10942,1936086.0,Auto,14.31,60,Ongoing,2022-09-19,45361.1
LOAN20547,CUST10951,4740519.0,Education,9.38,24,Ongoing,2025-01-15,217396.84
LOAN20548,CUST10946,2554139.0,Education,10.56,36,Ongoing,2021-07-25,83088.04
LOAN20549,CUST10980,2448943.0,Education,7.53,48,Ongoing,2023-05-09,59247.04
LOAN20550,CUST10911,2576828.0,Home,9.47,36,Closed,2022-08-28,82507.27
LOAN20551,CUST10212,1189452.0,Personal,7.7,60,Ongoing,2025-05-02,23947.38
LOAN20552,CUST10468,642867.0,Personal,10.99,36,Closed,2025-02-13,21043.6
LOAN20553,CUST10791,4094781.0,Asset,10.48,36,Closed,2024-10-23,133051.78
LOAN20554,CUST10102,3262272.0,Home,14.55,60,Ongoing,2024-08-31,76840.77
LOAN20555,CUST10426,971247.0,Home,12.84,60,Closed,2022-01-16,22019.38
LOAN20556,CUST10012,4788240.0,Personal,10.54,60,Closed,2024-01-11,103012.86
LOAN20557,CUST10038,4913044.0,Home,7.94,24,Closed,2022-02-17,222069.25
LOAN20558,CUST10106,3630609.0,Education,14.18,36,Closed,2024-09-11,124403.25
LOAN20559,CUST10185,4509938.0,Education,11.92,60,Closed,2024-01-31,100138.85
LOAN20560,CUST10707,766176.0,Auto,14.82,12,Closed,2021-10-10,69088.69
LOAN20561,CUST10732,2823035.0,Education,14.19,60,Ongoing,2024-07-27,65965.5
LOAN20562,CUST10221,4704057.0,Auto,12.98,12,Closed,2022-07-06,420109.42
LOAN20563,CUST10907,1864836.0,Auto,12.86,12,Ongoing,2024-09-04,166439.61
LOAN20564,CUST10791,1927374.0,Education,7.9,60,Ongoing,2022-07-30,38988.02
LOAN20565,CUST10555,2234463.0,Asset,7.76,36,Closed,2025-05-02,69772.82
LOAN20566,CUST10455,4886533.0,Home,14.94,60,Closed,2022-12-11,116096.44
LOAN20567,CUST10681,108902.0,Home,11.67,36,Ongoing,2022-04-10,3599.96
LOAN20568,CUST10621,1507455.0,Home,10.72,48,Closed,2021-09-23,38756.3
LOAN20569,CUST10438,345775.0,Education,7.37,36,Closed,2024-12-29,10735.12
LOAN20570,CUST10469,1443219.0,Personal,11.08,24,Closed,2022-07-10,67318.93
LOAN20571,CUST10659,3320325.0,Education,10.79,36,Closed,2024-10-16,108373.28
LOAN20572,CUST10142,1751342.0,Education,7.97,12,Ongoing,2023-08-30,152322.2
LOAN20573,CUST10832,1680858.0,Auto,14.21,24,Closed,2022-05-04,80869.69
LOAN20574,CUST10422,2620783.0,Home,7.62,24,Closed,2023-01-10,118077.22
LOAN20575,CUST10585,1917092.0,Personal,12.9,60,Closed,2022-07-21,43521.66
LOAN20576,CUST10968,3627177.0,Education,13.84,24,Ongoing,2023-08-03,173877.19
LOAN20577,CUST10406,4620864.0,Home,8.37,24,Closed,2021-09-27,209769.8
LOAN20578,CUST10624,2625636.0,Education,8.58,24,Closed,2025-05-08,119446.17
LOAN20579,CUST10495,1359354.0,Auto,8.77,60,Closed,2021-07-17,28066.46
LOAN20580,CUST10906,4054360.0,Auto,9.57,36,Ongoing,2024-09-16,130005.82
LOAN20581,CUST10143,4873540.0,Auto,13.97,24,Closed,2022-11-25,233923.64
LOAN20582,CUST10762,1293024.0,Home,9.9,24,Ongoing,2021-08-21,59606.84
LOAN20583,CUST10962,4226521.0,Asset,8.56,60,Ongoing,2022-08-01,86835.82
LOAN20584,CUST10688,1081008.0,Home,9.11,24,Ongoing,2023-09-02,49440.15
LOAN20585,CUST10604,4544641.0,Auto,10.75,60,Closed,2022-08-31,98245.84
LOAN20586,CUST10535,983222.0,Personal,8.03,24,Ongoing,2022-12-14,44481.92
LOAN20587,CUST10893,3066677.0,Personal,14.83,48,Ongoing,2023-05-20,85083.88
LOAN20588,CUST10801,4580219.0,Auto,8.29,48,Ongoing,2025-04-02,112441.07
LOAN20589,CUST10781,4059393.0,Asset,13.81,12,Closed,2021-08-31,364118.39
LOAN20590,CUST10444,1171861.0,Education,10.43,36,Closed,2022-12-02,38049.68
LOAN20591,CUST10965,2963484.0,Auto,14.45,36,Ongoing,2022-09-19,101933.77
LOAN20592,CUST10800,1326531.0,Home,13.56,12,Closed,2025-05-30,118830.94
LOAN20593,CUST10430,2513518.0,Education,12.24,24,Closed,2024-03-10,118601.93
LOAN20594,CUST10195,848792.0,Asset,8.75,60,Ongoing,2023-06-11,17516.72
LOAN20595,CUST10827,4231665.0,Education,7.24,48,Ongoing,2021-06-15,101804.34
LOAN20596,CUST10170,2900550.0,Personal,8.12,48,Ongoing,2025-02-07,70974.4
LOAN20597,CUST10106,3484045.0,Personal,11.16,12,Ongoing,2023-10-19,308185.76
LOAN20598,CUST10787,3907538.0,Education,12.13,24,Closed,2023-05-17,184178.69
LOAN20599,CUST10228,1691184.0,Personal,13.93,12,Ongoing,2021-09-15,151790.84
LOAN20600,CUST10005,1865884.0,Education,13.67,48,Closed,2022-07-15,50679.7
LOAN20601,CUST10671,890132.0,Auto,12.01,48,Closed,2021-09-18,23444.96
LOAN20602,CUST10758,276761.0,Home,10.58,60,Ongoing,2022-01-26,5959.65
LOAN20603,CUST10823,2400444.0,Personal,7.04,12,Closed,2024-12-17,207746.88
LOAN20604,CUST10184,4595438.0,Personal,11.04,24,Closed,2021-11-15,214268.78
LOAN20605,CUST10187,214994.0,Home,8.82,12,Closed,2023-06-07,18783.6
LOAN20606,CUST10183,3967156.0,Home,7.8,36,Closed,2021-08-31,123950.55
LOAN20607,CUST10669,3505375.0,Personal,11.89,12,Ongoing,2022-03-24,311267.97
LOAN20608,CUST10681,4900380.0,Auto,13.22,60,Closed,2021-06-13,112051.36
LOAN20609,CUST10280,2077336.0,Education,9.05,48,Ongoing,2023-02-28,51743.93
LOAN20610,CUST10271,3827876.0,Personal,10.22,60,Ongoing,2022-07-23,81746.04
LOAN20611,CUST10388,4969077.0,Education,14.42,48,Ongoing,2023-05-24,136836.59
LOAN20612,CUST10130,4034394.0,Personal,12.74,60,Closed,2023-04-10,91258.79
LOAN20613,CUST10066,4151866.0,Auto,14.82,12,Closed,2022-04-15,374387.86
